year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2016,OAK,Oakland Athletics,AL West,162,69,93,0,.426,.430,5th of 5,26.0,,653,761,"1,521,506",28.7,27.9,51,27,K.Graveman (3.2),B.Melvin (69-93)
2015,OAK,Oakland Athletics,AL West,162,68,94,0,.420,.478,5th of 5,20.0,,694,729,"1,768,175",27.9,27.8,52,30,S.Gray (5.3),B.Melvin (68-94)
2014,OAK,Oakland Athletics,AL West,162,88,74,0,.543,.609,2nd of 5,10.0,Lost ALWC (1-0),729,572,"2,003,628",29.5,28.2,45,22,J.Donaldson (7.5),B.Melvin (88-74)
2013,OAK,Oakland Athletics,AL West,162,96,66,0,.593,.593,1st of 5,--,Lost LDS (3-2),767,625,"1,809,302",28.3,28.3,44,18,J.Donaldson (7.7),B.Melvin (96-66)
2012,OAK,Oakland Athletics,AL West,162,94,68,0,.580,.568,1st of 4,--,Lost LDS (3-2),713,614,"1,679,013",27.7,27.9,50,25,J.Reddick (5.0),B.Melvin (94-68)
2011,OAK,Oakland Athletics,AL West,162,74,88,0,.457,.477,3rd of 4,22.0,,645,679,"1,476,791",29.0,27.4,48,26,G.Gonzalez (4.2),B.Geren (27-36) and B.Melvin (47-52)
2010,OAK,Oakland Athletics,AL West,162,81,81,0,.500,.526,2nd of 4,9.0,,663,626,"1,418,391",27.7,26.0,49,23,D.Barton (5.5),B.Geren (81-81)
2009,OAK,Oakland Athletics,AL West,162,75,87,0,.463,.499,4th of 4,22.0,,759,761,"1,408,783",29.0,25.7,51,26,A.Bailey (3.7),B.Geren (75-87)
2008,OAK,Oakland Athletics,AL West,161,75,86,0,.466,.470,3rd of 4,24.5,,646,690,"1,665,256",27.2,26.5,51,24,M.Ellis (4.0),B.Geren (75-86)
2007,OAK,Oakland Athletics,AL West,162,76,86,0,.469,.490,3rd of 4,18.0,,741,758,"1,921,844",28.8,26.9,54,24,M.Ellis (4.8),B.Geren (76-86)
2006,OAK,Oakland Athletics,AL West,162,93,69,0,.574,.527,1st of 4,--,Lost ALCS (4-0),771,727,"1,976,625",29.5,27.0,40,21,B.Zito (4.4),K.Macha (93-69)
2005,OAK,Oakland Athletics,AL West,162,88,74,0,.543,.573,2nd of 4,7.0,,772,658,"2,109,118",28.6,26.6,41,20,E.Chavez (4.8),K.Macha (88-74)
2004,OAK,Oakland Athletics,AL West,162,91,71,0,.562,.530,2nd of 4,1.0,,793,742,"2,201,516",29.6,28.4,36,17,E.Chavez (5.5),K.Macha (91-71)
2003,OAK,Oakland Athletics,AL West,162,96,66,0,.593,.581,1st of 4,--,Lost LDS (3-2),768,643,"2,216,596",28.4,27.4,41,18,T.Hudson (7.5),K.Macha (96-66)
2002,OAK,Oakland Athletics,AL West,162,103,59,0,.636,.591,1st of 4,--,Lost LDS (3-2),800,654,"2,169,811",28.6,27.4,41,17,B.Zito (7.1),A.Howe (103-59)
2001,OAK,Oakland Athletics,AL West,162,102,60,0,.630,.640,2nd of 4,14.0,Lost LDS (3-2),884,645,"2,133,277",27.5,28.0,42,16,J.Giambi (9.1),A.Howe (102-60)
2000,OAK,Oakland Athletics,AL West,161,91,70,0,.565,.569,1st of 4,--,Lost LDS (3-2),947,813,"1,603,744",27.5,29.5,44,21,J.Giambi (7.7),A.Howe (91-70)
1999,OAK,Oakland Athletics,AL West,162,87,75,0,.537,.525,2nd of 4,8.0,,893,846,"1,434,610",28.9,31.4,42,23,J.Giambi (5.9),A.Howe (87-75)
1998,OAK,Oakland Athletics,AL West,162,74,88,0,.457,.466,4th of 4,14.0,,804,866,"1,232,343",29.0,31.0,45,19,K.Rogers (7.5),A.Howe (74-88)
1997,OAK,Oakland Athletics,AL West,162,65,97,0,.401,.403,4th of 4,25.0,,764,946,"1,264,218",28.1,27.8,49,26,M.McGwire (3.1),A.Howe (65-97)
1996,OAK,Oakland Athletics,AL West,162,78,84,0,.481,.480,3rd of 4,12.0,,861,900,"1,148,380",28.2,27.1,43,20,M.McGwire (6.4),A.Howe (78-84)
1995,OAK,Oakland Athletics,AL West,144,67,77,0,.465,.481,4th of 4,11.5,,730,761,"1,174,310",29.6,30.9,44,23,M.McGwire (5.5),T.La Russa (67-77)
1994,OAK,Oakland Athletics,AL West,114,51,63,0,.447,.468,2nd of 4,1.0,,549,589,"1,242,692",29.3,29.8,43,20,R.Henderson (3.5),T.La Russa (51-63)
1993,OAK,Oakland Athletics,AL West,162,68,94,0,.420,.424,7th of 7,26.0,,715,846,"2,035,025",28.3,30.9,43,22,R.Henderson (4.5),T.La Russa (68-94)
1992,OAK,Oakland Athletics,AL West,162,96,66,0,.593,.547,1st of 7,--,Lost ALCS (4-2),745,672,"2,494,160",30.2,32.0,44,22,M.McGwire (6.4),T.La Russa (96-66)
1991,OAK,Oakland Athletics,AL West,162,84,78,0,.519,.490,4th of 7,11.0,,760,776,"2,713,493",29.9,30.9,46,23,D.Henderson (5.4),T.La Russa (84-78)
1990,OAK,Oakland Athletics,AL West,162,103,59,0,.636,.613,1st of 7,--,Lost WS (4-0),733,570,"2,900,217",29.2,31.7,40,15,R.Henderson (9.9),T.La Russa (103-59)
2016,PHI,Philadelphia Phillies,NL East,162,71,91,0,.438,.381,4th of 5,24.0,,610,796,"1,915,144",26.9,26.3,49,27,O.Herrera (4.2),P.Mackanin (71-91)
2015,PHI,Philadelphia Phillies,NL East,162,63,99,0,.389,.385,5th of 5,27.0,,626,809,"1,831,080",28.0,28.5,50,30,O.Herrera (4.0),R.Sandberg (26-48) and P.Mackanin (37-51)
2014,PHI,Philadelphia Phillies,NL East,162,73,89,0,.451,.452,5th of 5,23.0,,619,687,"2,423,852",30.8,30.1,49,26,C.Hamels (6.9),R.Sandberg (73-89)
2013,PHI,Philadelphia Phillies,NL East,162,73,89,0,.451,.407,4th of 5,23.0,,610,749,"3,012,403",30.0,28.7,51,27,C.Lee (7.2),C.Manuel (53-67) and R.Sandberg (20-22)
2012,PHI,Philadelphia Phillies,NL East,162,81,81,0,.500,.503,3rd of 5,17.0,,684,680,"3,565,718",31.1,29.1,49,24,C.Hamels (5.4),C.Manuel (81-81)
2011,PHI,Philadelphia Phillies,NL East,162,102,60,0,.630,.633,1st of 5,--,Lost LDS (3-2),713,529,"3,680,718",31.4,29.2,42,23,C.Lee (9.0),C.Manuel (102-60)
2010,PHI,Philadelphia Phillies,NL East,162,97,65,0,.599,.585,1st of 5,--,Lost NLCS (4-2),772,640,"3,777,322",31.8,31.1,42,21,R.Halladay (8.3),C.Manuel (97-65)
2009,PHI,Philadelphia Phillies,NL East,162,93,69,0,.574,.566,1st of 5,--,Lost WS (4-2),820,709,"3,600,693",31.3,31.2,41,22,C.Utley (8.2),C.Manuel (93-69)
2008,PHI,Philadelphia Phillies,NL East,162,92,70,0,.568,.573,1st of 5,--,Won WS (4-1),799,680,"3,422,583",30.1,30.6,40,18,C.Utley (9.0),C.Manuel (92-70)
2007,PHI,Philadelphia Phillies,NL East,162,89,73,0,.549,.538,1st of 5,--,Lost LDS (3-0),892,821,"3,108,325",28.8,30.6,46,28,C.Utley (7.8),C.Manuel (89-73)
2006,PHI,Philadelphia Phillies,NL East,162,85,77,0,.525,.529,2nd of 5,12.0,,865,812,"2,701,815",29.3,30.5,45,23,C.Utley (7.3),C.Manuel (85-77)
2005,PHI,Philadelphia Phillies,NL East,162,88,74,0,.543,.548,2nd of 5,2.0,,807,726,"2,665,304",30.0,29.7,40,19,C.Utley (7.2),C.Manuel (88-74)
2004,PHI,Philadelphia Phillies,NL East,162,86,76,0,.531,.533,2nd of 5,10.0,,840,781,"3,250,092",29.3,29.8,39,21,B.Abreu (6.5),L.Bowa (85-75) and G.Varsho (1-1)
2003,PHI,Philadelphia Phillies,NL East,162,86,76,0,.531,.558,3rd of 5,15.0,,791,697,"2,259,948",28.3,29.0,38,20,B.Abreu (5.3),L.Bowa (86-76)
2002,PHI,Philadelphia Phillies,NL East,161,80,81,0,.497,.491,3rd of 5,21.5,,710,724,"1,618,467",27.5,28.5,39,20,B.Abreu (5.8),L.Bowa (80-81)
2001,PHI,Philadelphia Phillies,NL East,162,86,76,0,.531,.517,2nd of 5,2.0,,746,719,"1,782,054",26.9,28.9,46,22,S.Rolen (5.5),L.Bowa (86-76)
2000,PHI,Philadelphia Phillies,NL East,162,65,97,0,.401,.428,5th of 5,30.0,,708,830,"1,612,769",28.5,28.7,51,27,B.Abreu (6.2),T.Francona (65-97)
1999,PHI,Philadelphia Phillies,NL East,162,77,85,0,.475,.497,3rd of 5,26.0,,841,846,"1,825,337",28.2,28.3,41,22,B.Abreu (6.1),T.Francona (77-85)
1998,PHI,Philadelphia Phillies,NL East,162,75,87,0,.463,.443,3rd of 5,31.0,,713,808,"1,715,722",27.1,29.3,40,21,S.Rolen (6.7),T.Francona (75-87)
1997,PHI,Philadelphia Phillies,NL East,162,68,94,0,.420,.397,5th of 5,33.0,,668,840,"1,490,638",27.8,27.9,46,23,C.Schilling (6.3),T.Francona (68-94)
1996,PHI,Philadelphia Phillies,NL East,162,67,95,0,.414,.412,5th of 5,29.0,,650,790,"1,801,677",28.4,27.7,54,25,C.Schilling (4.8),J.Fregosi (67-95)
1995,PHI,Philadelphia Phillies,NL East,144,69,75,0,.479,.469,2nd of 5,21.0,,615,658,"2,043,598",29.7,27.1,50,26,R.Bottalico (2.9),J.Fregosi (69-75)
1994,PHI,Philadelphia Phillies,NL East,115,54,61,0,.470,.522,4th of 5,20.5,,521,497,"2,290,971",29.8,29.3,40,20,D.Jackson (4.7),J.Fregosi (54-61)
1993,PHI,Philadelphia Phillies,NL East,162,97,65,0,.599,.577,1st of 7,--,Lost WS (4-2),877,740,"3,137,674",29.3,28.8,40,20,L.Dykstra (6.5),J.Fregosi (97-65)
1992,PHI,Philadelphia Phillies,NL East,162,70,92,0,.432,.480,6th of 6,26.0,,686,717,"1,927,448",27.7,26.8,48,24,D.Daulton (6.9),J.Fregosi (70-92)
1991,PHI,Philadelphia Phillies,NL East,162,78,84,0,.481,.464,3rd of 6,20.0,,629,680,"2,050,012",29.0,26.7,43,19,J.Kruk (4.7),N.Leyva (4-9) and J.Fregosi (74-75)
1990,PHI,Philadelphia Phillies,NL East,162,77,85,0,.475,.445,4th of 6,18.0,,646,729,"1,992,484",28.6,26.5,43,20,L.Dykstra (8.9),N.Leyva (77-85)
2016,PIT,Pittsburgh Pirates,NL Central,162,78,83,1,.484,.482,3rd of 5,25.0,,729,758,"2,249,201",28.9,28.6,55,32,S.Marte (4.8),C.Hurdle (78-83)
2015,PIT,Pittsburgh Pirates,NL Central,162,98,64,0,.605,.571,2nd of 5,2.0,Lost NLWC (1-0),697,596,"2,498,596",28.2,29.6,46,21,S.Marte (5.3),C.Hurdle (98-64)
2014,PIT,Pittsburgh Pirates,NL Central,162,88,74,0,.543,.535,2nd of 5,2.0,Lost NLWC (1-0),682,631,"2,442,564",27.3,28.1,45,23,A.McCutchen (6.3),C.Hurdle (88-74)
2013,PIT,Pittsburgh Pirates,NL Central,162,94,68,0,.580,.543,2nd of 5,3.0,Lost LDS (3-2),634,577,"2,256,862",27.9,28.7,49,28,A.McCutchen (8.1),C.Hurdle (94-68)
2012,PIT,Pittsburgh Pirates,NL Central,162,79,83,0,.488,.484,4th of 6,18.0,,651,674,"2,091,918",27.6,30.2,49,25,A.McCutchen (7.0),C.Hurdle (79-83)
2011,PIT,Pittsburgh Pirates,NL Central,162,72,90,0,.444,.430,4th of 6,24.0,,610,712,"1,940,429",27.2,28.1,52,25,A.McCutchen (5.7),C.Hurdle (72-90)
2010,PIT,Pittsburgh Pirates,NL Central,162,57,105,0,.352,.329,6th of 6,34.0,,587,866,"1,613,399",26.5,28.6,52,28,A.McCutchen (3.8),J.Russell (57-105)
2009,PIT,Pittsburgh Pirates,NL Central,161,62,99,0,.385,.415,6th of 6,28.5,,636,768,"1,577,853",27.0,26.3,49,26,J.Wilson (3.2),J.Russell (62-99)
2008,PIT,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.416,6th of 6,30.5,,735,884,"1,609,076",28.4,26.5,47,26,P.Maholm (3.8),J.Russell (67-95)
2007,PIT,Pittsburgh Pirates,NL Central,162,68,94,0,.420,.429,6th of 6,17.0,,724,846,"1,749,142",27.2,27.1,46,25,J.Wilson (3.6),J.Tracy (68-94)
2006,PIT,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.435,5th of 6,16.5,,691,797,"1,861,549",27.8,27.0,42,22,F.Sanchez (4.4),J.Tracy (67-95)
2005,PIT,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.444,6th of 6,33.0,,680,769,"1,817,245",27.4,28.7,44,19,J.Bay (5.7),L.McClendon (55-81) and P.Mackanin (12-14)
2004,PIT,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.459,5th of 6,32.5,,680,744,"1,580,031",27.2,27.7,43,22,O.Perez (5.9),L.McClendon (72-89)
2003,PIT,Pittsburgh Pirates,NL Central,162,75,87,0,.463,.472,4th of 6,13.0,,753,801,"1,636,751",29.7,28.3,46,23,K.Wells (5.1),L.McClendon (75-87)
2002,PIT,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.441,4th of 6,24.5,,641,730,"1,784,988",27.9,28.1,38,19,B.Giles (5.3),L.McClendon (72-89)
2001,PIT,Pittsburgh Pirates,NL Central,162,62,100,0,.383,.380,6th of 6,31.0,,657,858,"2,464,870",27.8,28.1,49,22,B.Giles (5.3),L.McClendon (62-100)
2000,PIT,Pittsburgh Pirates,NL Central,162,69,93,0,.426,.448,5th of 6,26.0,,793,888,"1,748,908",28.3,27.1,46,24,B.Giles (6.4),G.Lamont (69-93)
1999,PIT,Pittsburgh Pirates,NL Central,161,78,83,0,.484,.496,3rd of 6,18.5,,775,782,"1,638,023",28.3,26.8,45,21,B.Giles (6.6),G.Lamont (78-83)
1998,PIT,Pittsburgh Pirates,NL Central,163,69,93,1,.426,.455,6th of 6,33.0,,650,718,"1,560,950",26.7,26.5,38,17,J.Kendall (5.6),G.Lamont (69-93)
1997,PIT,Pittsburgh Pirates,NL Central,162,79,83,0,.488,.478,2nd of 5,5.0,,725,760,"1,657,022",26.6,25.7,43,21,F.Cordova (4.3),G.Lamont (79-83)
1996,PIT,Pittsburgh Pirates,NL Central,162,73,89,0,.451,.468,5th of 5,15.0,,776,833,"1,332,150",28.8,27.9,46,25,D.Neagle (6.0),J.Leyland (73-89)
1995,PIT,Pittsburgh Pirates,NL Central,144,58,86,0,.403,.429,5th of 5,27.0,,629,736,"905,517",28.3,26.4,40,21,D.Neagle (4.5),J.Leyland (58-86)
1994,PIT,Pittsburgh Pirates,NL Central,114,53,61,0,.465,.401,3rd of 5,13.0,,466,580,"1,222,520",29.1,27.2,39,18,J.Bell (3.4),J.Leyland (53-61)
1993,PIT,Pittsburgh Pirates,NL East,162,75,87,0,.463,.440,5th of 7,22.0,,707,806,"1,650,593",28.1,27.6,47,23,J.Bell (6.2),J.Leyland (75-87)
1992,PIT,Pittsburgh Pirates,NL East,162,96,66,0,.593,.569,1st of 6,--,Lost NLCS (4-3),693,595,"1,829,395",28.7,29.2,43,21,B.Bonds (9.0),J.Leyland (96-66)
1991,PIT,Pittsburgh Pirates,NL East,162,98,64,0,.605,.588,1st of 6,--,Lost NLCS (4-3),768,632,"2,065,302",28.1,28.4,43,17,B.Bonds (7.9),J.Leyland (98-64)
1990,PIT,Pittsburgh Pirates,NL East,162,95,67,0,.586,.577,1st of 6,--,Lost NLCS (4-2),733,619,"2,049,908",27.7,28.9,46,23,B.Bonds (9.7),J.Leyland (95-67)
2016,SDP,San Diego Padres,NL West,162,68,94,0,.420,.447,5th of 5,23.0,,686,770,"2,351,422",28.1,28.1,58,32,D.Pomeranz (3.5),A.Green (68-94)
2015,SDP,San Diego Padres,NL West,162,74,88,0,.457,.446,4th of 5,18.0,,650,731,"2,459,752",27.6,29.1,46,26,J.Upton (4.2),"B.Black (32-33), D.Roberts (0-1) and P.Murphy (42-54)"
2014,SDP,San Diego Padres,NL West,162,77,85,0,.475,.465,3rd of 5,17.0,,535,577,"2,195,373",27.9,28.8,51,24,S.Smith (3.7),B.Black (77-85)
2013,SDP,San Diego Padres,NL West,162,76,86,0,.469,.443,3rd of 5,16.0,,618,700,"2,166,691",28.1,28.8,47,23,C.Denorfia (4.3),B.Black (76-86)
2012,SDP,San Diego Padres,NL West,162,76,86,0,.469,.460,4th of 5,18.0,,651,710,"2,123,721",27.4,28.0,53,30,C.Headley (6.3),B.Black (76-86)
2011,SDP,San Diego Padres,NL West,162,71,91,0,.438,.486,5th of 5,23.0,,593,611,"2,143,018",28.0,28.1,48,22,C.Maybin (4.5),B.Black (71-91)
2010,SDP,San Diego Padres,NL West,162,90,72,0,.556,.561,2nd of 5,2.0,,665,581,"2,131,774",29.1,27.2,40,19,A.Gonzalez (4.3),B.Black (90-72)
2009,SDP,San Diego Padres,NL West,162,75,87,0,.463,.415,4th of 5,20.0,,638,769,"1,919,603",28.0,26.8,56,33,A.Gonzalez (6.9),B.Black (75-87)
2008,SDP,San Diego Padres,NL West,162,63,99,0,.389,.418,5th of 5,21.0,,637,764,"2,427,535",28.9,30.2,59,32,B.Giles (4.8),B.Black (63-99)
2007,SDP,San Diego Padres,NL West,163,89,74,0,.546,.549,3rd of 5,1.5,,741,666,"2,790,074",29.9,31.5,49,21,J.Peavy (6.9),B.Black (89-74)
2006,SDP,San Diego Padres,NL West,162,88,74,0,.543,.534,1st of 5,--,Lost LDS (3-1),731,679,"2,659,757",30.7,30.6,46,22,M.Cameron (4.3),B.Bochy (88-74)
2005,SDP,San Diego Padres,NL West,162,82,80,0,.506,.473,1st of 5,--,Lost LDS (3-0),684,726,"2,869,787",31.1,31.0,46,23,B.Giles (4.8),B.Bochy (82-80)
2004,SDP,San Diego Padres,NL West,162,87,75,0,.537,.539,3rd of 5,6.0,,768,705,"3,016,752",29.6,30.0,47,24,M.Loretta (6.0),B.Bochy (87-75)
2003,SDP,San Diego Padres,NL West,162,64,98,0,.395,.408,5th of 5,36.5,,678,831,"2,030,084",28.5,27.8,51,27,M.Loretta (4.9),B.Bochy (64-98)
2002,SDP,San Diego Padres,NL West,162,66,96,0,.407,.406,5th of 5,32.0,,662,815,"2,220,601",29.1,27.8,59,37,R.Klesko (4.2),B.Bochy (66-96)
2001,SDP,San Diego Padres,NL West,162,79,83,0,.488,.487,4th of 5,13.0,,789,812,"2,378,128",28.9,28.7,48,25,P.Nevin (5.8),B.Bochy (79-83)
2000,SDP,San Diego Padres,NL West,162,76,86,0,.469,.463,5th of 5,21.0,,752,815,"2,352,443",28.6,27.5,56,29,P.Nevin (4.1),B.Bochy (76-86)
1999,SDP,San Diego Padres,NL West,162,74,88,0,.457,.457,4th of 5,26.0,,710,781,"2,523,538",29.7,28.8,41,20,R.Sanders (4.1),B.Bochy (74-88)
1998,SDP,San Diego Padres,NL West,162,98,64,0,.605,.575,1st of 5,--,Lost WS (4-0),749,635,"2,555,874",31.1,29.8,42,21,K.Brown (9.1),B.Bochy (98-64)
1997,SDP,San Diego Padres,NL West,162,76,86,0,.469,.448,4th of 4,14.0,,795,891,"2,089,333",30.8,28.1,45,21,T.Gwynn (4.3),B.Bochy (76-86)
1996,SDP,San Diego Padres,NL West,162,91,71,0,.562,.556,1st of 4,--,Lost LDS (3-0),771,682,"2,187,886",30.9,28.7,43,19,K.Caminiti (7.6),B.Bochy (91-71)
1995,SDP,San Diego Padres,NL West,144,70,74,0,.486,.497,3rd of 4,8.0,,668,672,"1,041,805",28.8,26.6,40,20,A.Ashby (5.1),B.Bochy (70-74)
1994,SDP,San Diego Padres,NL West,117,47,70,0,.402,.453,4th of 4,12.5,,479,531,"953,857",27.2,26.8,40,20,T.Gwynn (4.2),J.Riggleman (47-70)
1993,SDP,San Diego Padres,NL West,162,61,101,0,.377,.442,7th of 7,43.0,,679,772,"1,375,432",26.9,26.7,46,23,G.Harris (4.9),J.Riggleman (61-101)
1992,SDP,San Diego Padres,NL West,162,82,80,0,.506,.486,3rd of 6,16.0,,617,636,"1,721,406",28.4,29.1,39,17,G.Sheffield (6.2),G.Riddoch (78-72) and J.Riggleman (4-8)
1991,SDP,San Diego Padres,NL West,162,84,78,0,.519,.493,3rd of 6,10.0,,636,646,"1,804,289",28.0,29.0,48,23,T.Gwynn (5.6),G.Riddoch (84-78)
1990,SDP,San Diego Padres,NL West,162,75,87,0,.463,.500,4th of 6,16.0,,673,673,"1,856,396",28.7,29.5,37,16,E.Whitson (7.1),J.McKeon (37-43) and G.Riddoch (38-44)
2016,SEA,Seattle Mariners,AL West,162,86,76,0,.531,.538,2nd of 5,9.0,,768,707,"2,267,928",30.4,28.8,54,32,R.Cano (7.3),S.Servais (86-76)
2015,SEA,Seattle Mariners,AL West,162,76,86,0,.469,.454,4th of 5,12.0,,656,726,"2,193,581",28.6,28.6,51,28,N.Cruz (5.1),L.McClendon (76-86)
2014,SEA,Seattle Mariners,AL West,162,87,75,0,.537,.561,3rd of 5,11.0,,634,554,"2,064,334",27.6,29.0,44,20,F.Hernandez (6.6),L.McClendon (87-75)
2013,SEA,Seattle Mariners,AL West,162,71,91,0,.438,.414,4th of 5,25.0,,624,754,"1,761,546",28.5,28.0,47,22,H.Iwakuma (7.1),E.Wedge (71-91)
2012,SEA,Seattle Mariners,AL West,162,75,87,0,.463,.477,4th of 4,19.0,,619,651,"1,721,920",27.1,27.9,38,18,F.Hernandez (5.2),E.Wedge (75-87)
2011,SEA,Seattle Mariners,AL West,162,67,95,0,.414,.412,4th of 4,29.0,,556,675,"1,896,321",29.2,26.8,47,21,B.Ryan (4.0),E.Wedge (67-95)
2010,SEA,Seattle Mariners,AL West,162,61,101,0,.377,.363,4th of 4,29.0,,513,698,"2,085,630",29.4,27.1,47,22,F.Hernandez (7.1),D.Wakamatsu (42-70) and D.Brown (19-31)
2009,SEA,Seattle Mariners,AL West,162,85,77,0,.525,.464,3rd of 4,12.0,,640,692,"2,195,533",29.8,27.4,46,20,F.Gutierrez (6.6),D.Wakamatsu (85-77)
2008,SEA,Seattle Mariners,AL West,162,61,101,0,.377,.414,4th of 4,39.0,,671,811,"2,329,702",29.6,28.5,44,22,A.Beltre (5.6),J.McLaren (25-47) and J.Riggleman (36-54)
2007,SEA,Seattle Mariners,AL West,162,88,74,0,.543,.489,2nd of 4,6.0,,794,813,"2,672,223",29.8,28.1,44,23,I.Suzuki (5.8),M.Hargrove (45-33) and J.McLaren (43-41)
2006,SEA,Seattle Mariners,AL West,162,78,84,0,.481,.479,4th of 4,15.0,,756,792,"2,481,165",28.6,28.0,49,25,A.Beltre (5.4),M.Hargrove (78-84)
2005,SEA,Seattle Mariners,AL West,162,69,93,0,.426,.467,4th of 4,26.0,,699,751,"2,725,459",28.9,31.4,48,21,I.Suzuki (3.9),M.Hargrove (69-93)
2004,SEA,Seattle Mariners,AL West,162,63,99,0,.389,.425,4th of 4,29.0,,698,823,"2,940,731",31.5,30.4,48,23,I.Suzuki (9.1),B.Melvin (63-99)
2003,SEA,Seattle Mariners,AL West,162,93,69,0,.574,.600,2nd of 4,3.0,,795,637,"3,268,509",31.9,29.8,37,18,B.Boone (5.9),B.Melvin (93-69)
2002,SEA,Seattle Mariners,AL West,162,93,69,0,.574,.569,3rd of 4,10.0,,814,699,"3,542,938",31.2,30.2,40,19,J.Moyer (5.7),L.Piniella (93-69)
2001,SEA,Seattle Mariners,AL West,162,116,46,0,.716,.672,1st of 4,--,Lost ALCS (4-1),927,627,"3,507,326",31.4,30.8,35,15,B.Boone (8.8),L.Piniella (116-46)
2000,SEA,Seattle Mariners,AL West,162,91,71,0,.562,.569,2nd of 4,0.5,Lost ALCS (4-2),907,780,"2,914,624",31.2,29.3,37,16,A.Rodriguez (10.4),L.Piniella (91-71)
1999,SEA,Seattle Mariners,AL West,162,79,83,0,.488,.476,3rd of 4,16.0,,859,905,"2,916,346",29.2,28.2,51,28,J.Moyer (6.6),L.Piniella (79-83)
1998,SEA,Seattle Mariners,AL West,161,76,85,0,.472,.502,3rd of 4,11.5,,859,855,"2,651,511",29.8,31.3,47,20,A.Rodriguez (8.5),L.Piniella (76-85)
1997,SEA,Seattle Mariners,AL West,162,90,72,0,.556,.548,1st of 4,--,Lost LDS (3-1),925,833,"3,192,237",29.4,30.4,47,24,K.Griffey (9.1),L.Piniella (90-72)
1996,SEA,Seattle Mariners,AL West,161,85,76,0,.528,.547,2nd of 4,4.5,,993,895,"2,723,850",28.7,27.8,49,25,K.Griffey (9.7),L.Piniella (85-76)
1995,SEA,Seattle Mariners,AL West,145,79,66,0,.545,.553,1st of 4,--,Lost ALCS (4-2),796,708,"1,643,203",28.7,28.8,46,24,R.Johnson (8.6),L.Piniella (79-66)
1994,SEA,Seattle Mariners,AL West,112,49,63,0,.438,.464,3rd of 4,2.0,,569,616,"1,104,206",27.4,27.1,44,20,K.Griffey (6.9),L.Piniella (49-63)
1993,SEA,Seattle Mariners,AL West,162,82,80,0,.506,.502,4th of 7,12.0,,734,731,"2,052,638",28.0,28.3,48,23,K.Griffey (8.7),L.Piniella (82-80)
1992,SEA,Seattle Mariners,AL West,162,64,98,0,.395,.426,7th of 7,32.0,,679,799,"1,651,367",28.3,27.4,48,23,E.Martinez (6.5),B.Plummer (64-98)
1991,SEA,Seattle Mariners,AL West,162,83,79,0,.512,.519,5th of 7,12.0,,702,674,"2,147,905",28.1,27.5,38,17,K.Griffey (7.1),J.Lefebvre (83-79)
1990,SEA,Seattle Mariners,AL West,162,77,85,0,.475,.472,5th of 7,26.0,,640,680,"1,509,727",27.9,26.9,43,22,E.Martinez (5.5),J.Lefebvre (77-85)
2016,SFG,San Francisco Giants,NL West,162,87,75,0,.537,.557,2nd of 5,4.0,Lost LDS (3-1),715,631,"3,365,256",29.1,30.0,45,24,M.Bumgarner (5.8),B.Bochy (87-75)
2015,SFG,San Francisco Giants,NL West,162,84,78,0,.519,.548,2nd of 5,8.0,,696,627,"3,375,882",28.9,31.5,48,21,M.Bumgarner (6.2),B.Bochy (84-78)
2014,SFG,San Francisco Giants,NL West,162,88,74,0,.543,.536,2nd of 5,6.0,Won WS (4-3),665,614,"3,368,697",28.6,31.7,46,21,M.Bumgarner (5.4),B.Bochy (88-74)
2013,SFG,San Francisco Giants,NL West,162,76,86,0,.469,.457,3rd of 5,16.0,,629,691,"3,369,106",28.7,29.6,44,21,B.Posey (4.9),B.Bochy (76-86)
2012,SFG,San Francisco Giants,NL West,162,94,68,0,.580,.546,1st of 5,--,Won WS (4-0),718,649,"3,377,371",27.8,30.0,45,23,B.Posey (7.3),B.Bochy (94-68)
2011,SFG,San Francisco Giants,NL West,162,86,76,0,.531,.494,2nd of 5,8.0,,570,578,"3,387,303",30.2,28.5,44,17,P.Sandoval (6.1),B.Bochy (86-76)
2010,SFG,San Francisco Giants,NL West,162,92,70,0,.568,.581,1st of 5,--,Won WS (4-1),697,583,"3,037,443",29.6,27.9,42,19,A.Huff (5.7),B.Bochy (92-70)
2009,SFG,San Francisco Giants,NL West,162,88,74,0,.543,.533,3rd of 5,7.0,,657,611,"2,862,110",29.0,28.7,44,21,T.Lincecum (7.5),B.Bochy (88-74)
2008,SFG,San Francisco Giants,NL West,162,72,90,0,.444,.423,4th of 5,12.0,,640,759,"2,863,837",29.6,27.1,49,20,T.Lincecum (8.0),B.Bochy (72-90)
2007,SFG,San Francisco Giants,NL West,162,71,91,0,.438,.476,5th of 5,19.0,,683,720,"3,223,215",32.7,27.3,44,22,M.Cain (4.3),B.Bochy (71-91)
2006,SFG,San Francisco Giants,NL West,161,76,85,0,.472,.474,3rd of 5,11.5,,746,790,"3,130,313",33.6,28.7,44,21,J.Schmidt (4.0),F.Alou (76-85)
